arid_temp1,arid_temp2,arid_temp3,arid_temp4,arid_temp5
a.gal10.n,-1.41,,,0.0063206453091609
a.gal10.n,-1.4,,,0.00633859907568639
a.gal10.n,-1.39,,,0.0063565985015938
a.gal10.n,-1.38,,,0.00637464368626553
a.gal10.n,-1.37,,,0.00639273472925072
a.gal10.n,-1.36,,,0.00641087173026532
a.gal10.n,-1.35,,,0.00642905478919237
a.gal10.n,-1.34,,,0.00644728400608197
a.gal10.n,-1.33,,,0.00646555948115152
a.gal10.n,-1.32,,,0.00648388131478583
a.gal10.n,-1.31,,,0.00650224960753729
a.gal10.n,-1.3,,,0.00652066446012591
a.gal10.n,-1.29,,,0.00653912597343957
a.gal10.n,-1.28,,,0.0065576342485341
a.gal10.n,-1.27,,,0.00657618938663342
a.gal10.n,-1.26,,,0.00659479148912968
a.gal10.n,-1.25,,,0.00661344065758338
a.gal10.n,-1.24,,,0.00663213699372352
a.gal10.n,-1.23,,,0.00665088059944775
a.gal10.n,-1.22,,,0.00666967157682247
a.gal10.n,-1.21,,,0.00668851002808298
a.gal10.n,-1.2,,,0.00670739605563363
a.gal10.n,-1.19,,,0.00672632976204792
a.gal10.n,-1.18,,,0.00674531125006865
a.gal10.n,-1.17,,,0.00676434062260804
a.gal10.n,-1.16,,,0.00678341798274788
a.gal10.n,-1.15,,,0.00680254343373971
a.gal10.n,-1.14,,,0.00682171707900478
a.gal10.n,-1.13,,,0.00684093902213438
a.gal10.n,-1.12,,,0.0068602093668899
a.gal10.n,-1.11,,,0.00687952821720288
a.gal10.n,-1.1,,,0.00689889567717525
a.gal10.n,-1.09,,,0.00691831185107941
a.gal10.n,-1.08,,,0.00693777684335837
a.gal10.n,-1.07,,,0.00695729075862584
a.gal10.n,-1.06,,,0.00697685370166647
a.gal10.n,-1.05,,,0.00699646577743583
a.gal10.n,-1.04,,,0.00701612709106061
a.gal10.n,-1.03,,,0.00703583774783879
a.gal10.n,-1.02,,,0.00705559785323971
a.gal10.n,-1.01,,,0.0070754075129042
a.gal10.n,-1,,,0.00709526683264468
a.gal10.n,-0.99,,,0.00711517591844539
a.gal10.n,-0.98,,,0.00713513487646243
a.gal10.n,-0.97,,,0.00715514381302387
a.gal10.n,-0.96,,,0.00717520283462992
a.gal10.n,-0.95,,,0.00719531204795307
a.gal10.n,-0.94,,,0.00721547155983817
a.gal10.n,-0.93,,,0.00723568147730254
a.gal10.n,-0.92,,,0.00725594190753617
a.gal10.n,-0.91,,,0.00727625295790177
a.gal10.n,-0.9,,,0.00729661473593493
a.gal10.n,-0.89,,,0.00731702734934421
a.gal10.n,-0.88,,,0.0073374909060113
a.gal10.n,-0.87,,,0.00735800551399115
a.gal10.n,-0.86,,,0.007378571281512
a.gal10.n,-0.85,,,0.00739918831697563
a.gal10.n,-0.84,,,0.00741985672895738
a.gal10.n,-0.83,,,0.00744057662620629
a.gal10.n,-0.82,,,0.00746134811764529
a.gal10.n,-0.81,,,0.00748217131237122
a.gal10.n,-0.8,,,0.00750304631965503
a.gal10.n,-0.79,,,0.00752397324894181
a.gal10.n,-0.78,,,0.00754495220985099
a.gal10.n,-0.77,,,0.00756598331217641
a.gal10.n,-0.76,,,0.00758706666588651
a.gal10.n,-0.75,,,0.00760820238112429
a.gal10.n,-0.74,,,0.00762939056820763
a.gal10.n,-0.73,,,0.00765063133762923
a.gal10.n,-0.72,,,0.00767192480005682
a.gal10.n,-0.71,,,0.00769327106633325
a.gal10.n,-0.7,,,0.00771467024747661
a.gal10.n,-0.69,,,0.00773612245468038
a.gal10.n,-0.68,,,0.00775762779931341
a.gal10.n,-0.67,,,0.0077791863929202
a.gal10.n,-0.66,,,0.00780079834722096
a.gal10.n,-0.649999999999999,,,0.00782246377411163
a.gal10.n,-0.64,,,0.00784418278566411
a.gal10.n,-0.63,,,0.00786595549412631
a.gal10.n,-0.62,,,0.00788778201192232
a.gal10.n,-0.61,,,0.00790966245165241
a.gal10.n,-0.6,,,0.00793159692609326
a.gal10.n,-0.59,,,0.00795358554819803
a.gal10.n,-0.58,,,0.00797562843109638
a.gal10.n,-0.57,,,0.00799772568809475
a.gal10.n,-0.56,,,0.00801987743267632
a.gal10.n,-0.55,,,0.00804208377850121
a.gal10.n,-0.54,,,0.0080643448394065
a.gal10.n,-0.53,,,0.00808666072940644
a.gal10.n,-0.52,,,0.00810903156269247
a.gal10.n,-0.51,,,0.00813145745363339
a.gal10.n,-0.5,,,0.00815393851677543
a.gal10.n,-0.49,,,0.00817647486684234
a.gal10.n,-0.48,,,0.00819906661873555
a.gal10.n,-0.47,,,0.00822171388753423
a.gal10.n,-0.46,,,0.00824441678849539
a.gal10.n,-0.45,,,0.00826717543705401
a.gal10.n,-0.44,,,0.00828998994882319
a.gal10.n,-0.43,,,0.00831286043959409
a.gal10.n,-0.42,,,0.00833578702533618
a.gal10.n,-0.41,,,0.00835876982219735
a.gal10.n,-0.399999999999999,,,0.00838180894650394
a.gal10.n,-0.39,,,0.0084049045147608
a.gal10.n,-0.38,,,0.0084280566436515
a.gal10.n,-0.37,,,0.0084512654500384
a.gal10.n,-0.36,,,0.00847453105096269
a.gal10.n,-0.35,,,0.00849785356364457
a.gal10.n,-0.34,,,0.0085212331054833
a.gal10.n,-0.33,,,0.00854466979405722
a.gal10.n,-0.32,,,0.00856816374712408
a.gal10.n,-0.31,,,0.0085917150826209
a.gal10.n,-0.3,,,0.0086153239186642
a.gal10.n,-0.29,,,0.00863899037354998
a.gal10.n,-0.28,,,0.00866271456575396
a.gal10.n,-0.27,,,0.00868649661393158
a.gal10.n,-0.26,,,0.00871033663691813
a.gal10.n,-0.25,,,0.00873423475372881
a.gal10.n,-0.24,,,0.00875819108355885
a.gal10.n,-0.23,,,0.00878220574578363
a.gal10.n,-0.22,,,0.00880627885995868
a.gal10.n,-0.21,,,0.00883041054581989
a.gal10.n,-0.2,,,0.00885460092328354
a.gal10.n,-0.19,,,0.00887885011244636
a.gal10.n,-0.18,,,0.00890315823358567
a.gal10.n,-0.17,,,0.00892752540715947
a.gal10.n,-0.16,,,0.00895195175380648
a.gal10.n,-0.149999999999999,,,0.00897643739434634
a.gal10.n,-0.14,,,0.00900098244977951
a.gal10.n,-0.13,,,0.00902558704128759
a.gal10.n,-0.12,,,0.0090502512902332
a.gal10.n,-0.11,,,0.00907497531816019
a.gal10.n,-0.0999999999999996,,,0.00909975924679367
a.gal10.n,-0.0899999999999999,,,0.00912460319804018
a.gal10.n,-0.0800000000000001,,,0.00914950729398761
a.gal10.n,-0.0700000000000003,,,0.00917447165690545
a.gal10.n,-0.0599999999999996,,,0.00919949640924482
a.gal10.n,-0.0499999999999998,,,0.00922458167363853
a.gal10.n,-0.04,,,0.00924972757290116
a.gal10.n,-0.0300000000000002,,,0.00927493423002916
a.gal10.n,-0.0199999999999996,,,0.00930020176820096
a.gal10.n,-0.00999999999999979,,,0.00932553031077703
a.gal10.n,0,,,0.00935091998129989
a.gal10.n,0.00999999999999979,,,0.00937637090349435
a.gal10.n,0.0200000000000005,,,0.00940188320126742
a.gal10.n,0.0300000000000002,,,0.00942745699870845
a.gal10.n,0.04,,,0.00945309242008931
a.gal10.n,0.0499999999999998,,,0.00947878958986433
a.gal10.n,0.0600000000000005,,,0.00950454863267045
a.gal10.n,0.0700000000000003,,,0.00953036967332719
a.gal10.n,0.0800000000000001,,,0.00955625283683693
a.gal10.n,0.0899999999999999,,,0.0095821982483848
a.gal10.n,0.100000000000001,,,0.00960820603333885
a.gal10.n,0.11,,,0.0096342763172501
a.gal10.n,0.12,,,0.00966040922585259
a.gal10.n,0.13,,,0.00968660488506349
a.gal10.n,0.14,,,0.00971286342098318
a.gal10.n,0.15,,,0.00973918495989527
a.gal10.n,0.16,,,0.00976556962826674
a.gal10.n,0.17,,,0.0097920175527479
a.gal10.n,0.18,,,0.00981852886017264
a.gal10.n,0.19,,,0.00984510367755832
a.gal10.n,0.2,,,0.009871742132106
a.gal10.n,0.21,,,0.00989844435120029
a.gal10.n,0.22,,,0.0099252104624097
a.gal10.n,0.23,,,0.00995204059348645
a.gal10.n,0.24,,,0.00997893487236674
a.gal10.n,0.25,,,0.0100058934271707
a.gal10.n,0.26,,,0.0100329163862024
a.gal10.n,0.27,,,0.0100600038779501
a.gal10.n,0.28,,,0.0100871560310861
a.gal10.n,0.29,,,0.0101143729744672
a.gal10.n,0.3,,,0.0101416548371341
a.gal10.n,0.31,,,0.010169001748312
a.gal10.n,0.32,,,0.0101964138374107
a.gal10.n,0.33,,,0.0102238912340241
a.gal10.n,0.34,,,0.010251434067931
a.gal10.n,0.350000000000001,,,0.0102790424690946
a.gal10.n,0.36,,,0.0103067165676626
a.gal10.n,0.37,,,0.0103344564939678
a.gal10.n,0.38,,,0.0103622623785274
a.gal10.n,0.39,,,0.0103901343520436
a.gal10.n,0.4,,,0.0104180725454035
a.gal10.n,0.41,,,0.0104460770896791
a.gal10.n,0.42,,,0.0104741481161275
a.gal10.n,0.43,,,0.0105022857561905
a.gal10.n,0.44,,,0.0105304901414956
a.gal10.n,0.45,,,0.0105587614038549
a.gal10.n,0.46,,,0.010587099675266
a.gal10.n,0.47,,,0.0106155050879118
a.gal10.n,0.48,,,0.0106439777741604
a.gal10.n,0.49,,,0.0106725178665653
a.gal10.n,0.5,,,0.0107011254978655
a.gal10.n,0.51,,,0.0107298008009855
a.gal10.n,0.52,,,0.0107585439090351
a.gal10.n,0.53,,,0.0107873549553099
a.gal10.n,0.54,,,0.0108162340732911
a.gal10.n,0.55,,,0.0108451813966456
a.gal10.n,0.56,,,0.0108741970592258
a.gal10.n,0.57,,,0.0109032811950701
a.gal10.n,0.58,,,0.0109324339384027
a.gal10.n,0.59,,,0.0109616554236336
a.gal10.n,0.600000000000001,,,0.0109909457853586
a.gal10.n,0.61,,,0.0110203051583597
a.gal10.n,0.62,,,0.0110497336776047
a.gal10.n,0.63,,,0.0110792314782475
a.gal10.n,0.64,,,0.0111087986956281
a.gal10.n,0.65,,,0.0111384354652724
a.gal10.n,0.66,,,0.0111681419228929
a.gal10.n,0.67,,,0.011197918204388
a.gal10.n,0.68,,,0.0112277644458423
a.gal10.n,0.69,,,0.0112576807835267
a.gal10.n,0.7,,,0.0112876673538987
a.gal10.n,0.71,,,0.0113177242936018
a.gal10.n,0.72,,,0.0113478517394661
a.gal10.n,0.73,,,0.011378049828508
a.gal10.n,0.74,,,0.0114083186979305
a.gal10.n,0.75,,,0.0114386584851229
a.gal10.n,0.76,,,0.0114690693276612
a.gal10.n,0.77,,,0.011499551363308
a.gal10.n,0.78,,,0.0115301047300124
a.gal10.n,0.79,,,0.01156072956591
a.gal10.n,0.8,,,0.0115914260093234
a.gal10.n,0.81,,,0.0116221941987615
a.gal10.n,0.82,,,0.0116530342729202
a.gal10.n,0.83,,,0.0116839463706822
a.gal10.n,0.84,,,0.0117149306311166
a.gal10.n,0.850000000000001,,,0.0117459871934798
a.gal10.n,0.86,,,0.0117771161972145
a.gal10.n,0.87,,,0.0118083177819508
a.gal10.n,0.88,,,0.0118395920875053
a.gal10.n,0.89,,,0.0118709392538817
a.gal10.n,0.9,,,0.0119023594212705
a.gal10.n,0.91,,,0.0119338527300493
a.gal10.n,0.92,,,0.0119654193207825
a.gal10.n,0.93,,,0.0119970593342217
a.gal10.n,0.94,,,0.0120287729113055
a.gal10.n,0.95,,,0.0120605601931594
a.gal10.n,0.96,,,0.0120924213210959
a.gal10.n,0.97,,,0.012124356436615
a.gal10.n,0.98,,,0.0121563656814033
a.gal10.n,0.99,,,0.0121884491973349
a.gal10.n,1,,,0.0122206071264708
a.gal10.n,1.01,,,0.0122528396110592
a.gal10.n,1.02,,,0.0122851467935355
a.gal10.n,1.03,,,0.0123175288165223
a.gal10.n,1.04,,,0.0123499858228294
a.gal10.n,1.05,,,0.0123825179554538
a.gal10.n,1.06,,,0.0124151253575796
a.gal10.n,1.07,,,0.0124478081725783
a.gal10.n,1.08,,,0.0124805665440085
a.gal10.n,1.09,,,0.0125134006156162
a.gal10.n,1.1,,,0.0125463105313346
a.gal10.n,1.11,,,0.012579296435284
a.gal10.n,1.12,,,0.0126123584717724
a.gal10.n,1.13,,,0.0126454967852946
a.gal10.n,1.14,,,0.0126787115205329
a.gal10.n,1.15,,,0.0127120028223571
a.gal10.n,1.16,,,0.012745370835824
a.gal10.n,1.17,,,0.0127788157061778
a.gal10.n,1.18,,,0.01281233757885
a.gal10.n,1.19,,,0.0128459365994595
a.gal10.n,1.2,,,0.0128796129138123
a.gal10.n,1.21,,,0.0129133666679021
a.gal10.n,1.22,,,0.0129471980079095
a.gal10.n,1.23,,,0.0129811070802026
a.gal10.n,1.24,,,0.0130150940313369
a.gal10.n,1.25,,,0.013049159008055
a.gal10.n,1.26,,,0.0130833021572869
a.gal10.n,1.27,,,0.0131175236261499
a.gal10.n,1.28,,,0.0131518235619488
a.gal10.n,1.29,,,0.0131862021121752
a.gal10.n,1.3,,,0.0132206594245085
a.gal10.n,1.31,,,0.0132551956468151
a.gal10.n,1.32,,,0.0132898109271487
a.gal10.n,1.33,,,0.0133245054137503
a.gal10.n,1.34,,,0.0133592792550482
a.gal10.n,1.35,,,0.0133941325996578
a.gal10.n,1.36,,,0.0134290655963818
a.gal10.n,1.37,,,0.0134640783942101
a.gal10.n,1.38,,,0.01349917114232
a.gal10.n,1.39,,,0.0135343439900757
a.gal10.n,1.4,,,0.0135695970870287
a.gal10.n,1.41,,,0.0136049305829177
a.gal10.n,1.42,,,0.0136403446276684
a.gal10.n,1.43,,,0.0136758393713939
a.gal10.n,1.44,,,0.0137114149643941
a.gal10.n,1.45,,,0.0137470715571562
a.gal10.n,1.46,,,0.0137828093003544
a.gal10.n,1.47,,,0.01381862834485
a.gal10.n,1.48,,,0.0138545288416912
a.gal10.n,1.49,,,0.0138905109421133
a.gal10.n,1.5,,,0.0139265747975387
a.gal10.n,1.51,,,0.0139627205595765
a.gal10.n,1.52,,,0.0139989483800229
a.gal10.n,1.53,,,0.0140352584108611
a.gal10.n,1.54,,,0.014071650804261
