arid_temp1,arid_temp2,arid_temp3
a.gal1.s,,0.387907843685357
a.gal10.n,,0.68940365065452
a.gal2.s,,0.313107385538208
a.gal3.s,,0.287417626287711
a.gal4.s,,0.380848244776341
a.gal5.s,,0.308517801828791
a.gal6.n,,0.519532424537357
a.gal7.n,,0.457531430888388
a.gal8.n,,0.593468451364062
a.gal9.n,,0.878809139898706
a.sin.n,,0.928790272569974
a.tab.n,,1.12335423370795
a.tab.s,,1.46295269348546
a.musc.s,,1.19830923414328
e.scab.s,,6.34210335791116
f.fom.n,,7.53061666348694
h.seti.n,,7.86675500848395
h.seti.s,,6.01445731833852
h.crust.n,,1.60182742064343
l.carib.s,,6.1520650724631
l.conif.n,,7.67756747611081
l.gilb.s,,6.11029253568682
l.huron.n,,3.34283009288545
l.crin.s,,10.1334185038835
m.trem.n,,11.4531900576203
m.trem.s,,11.2341354400168
m.meri.s,,1.51064579357852
p.robin.n,,5.20154264126106
p.robin.s,,4.2456242030508
p.gilv.n,,4.02493379084747
p.har.n,,0.636170177028546
p.rufa.acer.n,,10.882339470316
p.rufa.acer.s,,9.56402005898573
p.flav.n,,12.5838147935448
p.flav.s,,13.2279009891164
p.pend.n,,3.30897536677755
p.albo.s,,13.6395123651126
p.sang.s,,10.4577094540638
r.sacc.s,,11.2164923212478
s.comm.n,,7.95864221324418
s.comm.s,,6.79018522703903
t.chion.n,,8.64932646160257
v.abi.n,,0.723518186541096
x.sub.s,,0.949139524709688
