Species,psi,Nu,,Species,psi,Nu
a.gal1.s,-1.23,0.378773451,,a.gal10.n,-1.23,0.5268329029
a.gal1.s,-1.24,0.3783018633,,a.gal10.n,-1.24,0.5254987668
a.gal1.s,-1.25,0.3778248715,,a.gal10.n,-1.25,0.5241506125
a.gal1.s,-1.26,0.3773425057,,a.gal10.n,-1.26,0.5227885652
a.gal1.s,-1.27,0.3768547943,,a.gal10.n,-1.27,0.5214127514
a.gal1.s,-1.28,0.3763617645,,a.gal10.n,-1.28,0.5200232985
a.gal1.s,-1.29,0.3758634423,,a.gal10.n,-1.29,0.518620335
a.gal1.s,-1.3,0.3753598533,,a.gal10.n,-1.3,0.5172039903
a.gal1.s,-1.31,0.3748510225,,a.gal10.n,-1.31,0.5157743948
a.gal1.s,-1.32,0.3743369748,,a.gal10.n,-1.32,0.5143316799
a.gal1.s,-1.33,0.3738177347,,a.gal10.n,-1.33,0.512875978
a.gal1.s,-1.34,0.3732933267,,a.gal10.n,-1.34,0.5114074223
a.gal1.s,-1.35,0.3727637751,,a.gal10.n,-1.35,0.509926147
a.gal1.s,-1.36,0.3722291046,,a.gal10.n,-1.36,0.508432287
a.gal1.s,-1.37,0.3716893397,,a.gal10.n,-1.37,0.5069259783
a.gal1.s,-1.38,0.371144505,,a.gal10.n,-1.38,0.5054073576
a.gal1.s,-1.39,0.3705946254,,a.gal10.n,-1.39,0.5038765623
a.gal1.s,-1.4,0.3700397257,,a.gal10.n,-1.4,0.502333731
a.gal1.s,-1.41,0.3694798312,,a.gal10.n,-1.41,0.5007790026
a.gal1.s,-1.42,0.368914967,,a.gal10.n,-1.42,0.499212517
a.gal1.s,-1.43,0.3683451587,,a.gal10.n,-1.43,0.4976344148
a.gal1.s,-1.44,0.3677704319,,a.gal10.n,-1.44,0.4960448374
a.gal1.s,-1.45,0.3671908124,,a.gal10.n,-1.45,0.4944439266
a.gal1.s,-1.46,0.3666063261,,a.gal10.n,-1.46,0.4928318253
a.gal1.s,-1.47,0.3660169993,,a.gal10.n,-1.47,0.4912086767
a.gal1.s,-1.48,0.3654228583,,a.gal10.n,-1.48,0.4895746247
a.gal1.s,-1.49,0.3648239297,,a.gal10.n,-1.49,0.487929814
a.gal1.s,-1.5,0.3642202402,,a.gal10.n,-1.5,0.4862743897
a.gal1.s,-1.51,0.3636118166,,a.gal10.n,-1.51,0.4846084974
a.gal1.s,-1.52,0.3629986861,,a.gal10.n,-1.52,0.4829322834
a.gal1.s,-1.53,0.362380876,,a.gal10.n,-1.53,0.4812458946
a.gal1.s,-1.54,0.3617584136,,a.gal10.n,-1.54,0.4795494781
a.gal1.s,-1.55,0.3611313265,,a.gal10.n,-1.55,0.4778431817
a.gal1.s,-1.56,0.3604996426,,a.gal10.n,-1.56,0.4761271537
a.gal1.s,-1.57,0.3598633898,,a.gal10.n,-1.57,0.4744015427
a.gal1.s,-1.58,0.3592225961,,a.gal10.n,-1.58,0.4726664978
a.gal1.s,-1.59,0.3585772899,,a.gal10.n,-1.59,0.4709221683
a.gal1.s,-1.6,0.3579274996,,a.gal10.n,-1.6,0.4691687043
a.gal1.s,-1.61,0.3572732538,,a.gal10.n,-1.61,0.4674062558
a.gal1.s,-1.62,0.3566145812,,a.gal10.n,-1.62,0.4656349733
a.gal1.s,-1.63,0.3559515108,,a.gal10.n,-1.63,0.4638550078
a.gal1.s,-1.64,0.3552840716,,a.gal10.n,-1.64,0.4620665103
a.gal1.s,-1.65,0.3546122928,,a.gal10.n,-1.65,0.4602696321
a.gal1.s,-1.66,0.3539362039,,a.gal10.n,-1.66,0.4584645251
a.gal1.s,-1.67,0.3532558343,,a.gal10.n,-1.67,0.4566513409
a.gal1.s,-1.68,0.3525712137,,a.gal10.n,-1.68,0.4548302316
a.gal1.s,-1.69,0.3518823718,,a.gal10.n,-1.69,0.4530013496
a.gal1.s,-1.7,0.3511893388,,a.gal10.n,-1.7,0.4511648472
a.gal1.s,-1.71,0.3504921445,,a.gal10.n,-1.71,0.449320877
a.gal1.s,-1.72,0.3497908193,,a.gal10.n,-1.72,0.4474695916
a.gal1.s,-1.73,0.3490853935,,a.gal10.n,-1.73,0.4456111438
a.gal1.s,-1.74,0.3483758976,,a.gal10.n,-1.74,0.4437456864
a.gal1.s,-1.75,0.3476623623,,a.gal10.n,-1.75,0.4418733725
a.gal1.s,-1.76,0.3469448182,,a.gal10.n,-1.76,0.4399943548
a.gal1.s,-1.77,0.3462232962,,a.gal10.n,-1.77,0.4381087865
a.gal1.s,-1.78,0.3454978274,,a.gal10.n,-1.78,0.4362168204
a.gal1.s,-1.79,0.3447684429,,a.gal10.n,-1.79,0.4343186095
a.gal1.s,-1.8,0.3440351739,,a.gal10.n,-1.8,0.4324143067
a.gal1.s,-1.81,0.3432980518,,a.gal10.n,-1.81,0.4305040649
a.gal1.s,-1.82,0.342557108,,a.gal10.n,-1.82,0.4285880368
